image,x,y,class
aerial-survey-colony.jpg,430,3,chick
aerial-survey-colony.jpg,492.8,0.8,adult bird
aerial-survey-colony.jpg,677.3,3.7,nest site
aerial-survey-colony.jpg,711,6,chick
aerial-survey-colony.jpg,719,11,adult bird
aerial-survey-colony.jpg,690.8,5.2,nest site
aerial-survey-colony.jpg,465,7,chick
aerial-survey-colony.jpg,471.5,13,adult bird
aerial-survey-colony.jpg,463,17.5,nest site
aerial-survey-colony.jpg,567.3,15.6,chick
aerial-survey-colony.jpg,555.8,14.5,adult bird
aerial-survey-colony.jpg,251,18,nest site
aerial-survey-colony.jpg,726.8,18.6,chick
aerial-survey-colony.jpg,598.9,21.4,adult bird
aerial-survey-colony.jpg,281.3,23.4,nest site
aerial-survey-colony.jpg,626.7,22.6,chick
aerial-survey-colony.jpg,547.3,26.3,adult bird
aerial-survey-colony.jpg,536,32,nest site
aerial-survey-colony.jpg,677,24,chick
aerial-survey-colony.jpg,742,25.5,adult bird
aerial-survey-colony.jpg,447.5,29.8,nest site
aerial-survey-colony.jpg,555,35.3,chick
aerial-survey-colony.jpg,576,38,adult bird
aerial-survey-colony.jpg,221,45,nest site
aerial-survey-colony.jpg,220,50,chick
aerial-survey-colony.jpg,472.8,50.7,adult bird
aerial-survey-colony.jpg,582.6,55.7,nest site
aerial-survey-colony.jpg,731,60,chick
aerial-survey-colony.jpg,516.9,73.6,adult bird
aerial-survey-colony.jpg,552.8,74.6,nest site
aerial-survey-colony.jpg,560.7,91.2,chick
aerial-survey-colony.jpg,692.6,87.6,adult bird
aerial-survey-colony.jpg,665,102,nest site
aerial-survey-colony.jpg,843.7,118.5,chick
aerial-survey-colony.jpg,664,142,adult bird
aerial-survey-colony.jpg,671,147,nest site
aerial-survey-colony.jpg,862.9,141.6,chick
aerial-survey-colony.jpg,786,142,adult bird
aerial-survey-colony.jpg,786.5,147,nest site
aerial-survey-colony.jpg,601.3,150,chick
aerial-survey-colony.jpg,589.6,153.7,adult bird
aerial-survey-colony.jpg,727.8,170.6,nest site
aerial-survey-colony.jpg,773.4,174.7,chick
aerial-survey-colony.jpg,787,179,chick
aerial-survey-colony.jpg,789,183.5,adult bird
aerial-survey-colony.jpg,804,178.5,nest site
aerial-survey-colony.jpg,812,183.5,chick
aerial-survey-colony.jpg,622.8,179.3,adult bird
aerial-survey-colony.jpg,718.7,185.7,nest site
aerial-survey-colony.jpg,657,190,chick
aerial-survey-colony.jpg,802,195,adult bird
aerial-survey-colony.jpg,799,204.5,nest site
aerial-survey-colony.jpg,798,212,chick
aerial-survey-colony.jpg,868.9,198.1,adult bird
aerial-survey-colony.jpg,723.7,200.9,chick
aerial-survey-colony.jpg,865.5,212.6,adult bird
aerial-survey-colony.jpg,668.4,214.9,nest site
aerial-survey-colony.jpg,848.8,214.2,chick
aerial-survey-colony.jpg,797.6,228,adult bird
aerial-survey-colony.jpg,715.7,228.6,chick
aerial-survey-colony.jpg,859.5,237,adult bird
aerial-survey-colony.jpg,854,241,nest site
aerial-survey-colony.jpg,300,308,adult bird
aerial-survey-colony.jpg,169.7,315.9,adult bird
aerial-survey-colony.jpg,190.8,326.1,nest site
aerial-survey-colony.jpg,243,372,adult bird
aerial-survey-colony.jpg,244.5,377,nest site
aerial-survey-colony.jpg,250.1,341.6,nest site
aerial-survey-colony.jpg,370,351.8,chick
aerial-survey-colony.jpg,427.3,344.6,adult bird
aerial-survey-colony.jpg,473.4,363.1,nest site
aerial-survey-colony.jpg,521.6,358,chick
aerial-survey-colony.jpg,751.1,179.7,adult bird
aerial-survey-colony.jpg,766.5,147.9,nest site
aerial-survey-colony.jpg,772.6,158.2,chick
aerial-survey-colony.jpg,639.4,181.7,adult bird
aerial-survey-colony.jpg,678.4,102.8,nest site
aerial-survey-colony.jpg,687.6,68,chick
aerial-survey-colony.jpg,724.5,98.7,adult bird
aerial-survey-colony.jpg,748.1,74.1,nest site
aerial-survey-colony.jpg,745,87.5,chick
aerial-survey-colony.jpg,794.2,103.9,adult bird
aerial-survey-colony.jpg,801.3,272.9,adult bird
aerial-survey-sparse.jpg,342,206,
aerial-survey-sparse.jpg,401,233,
